,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g[700250],0.062,0.159,-0.231,0.36,0.001,0.002,18235.0,5518.0,1.0
g[670092],0.003,0.167,-0.32,0.309,0.001,0.002,17046.0,5723.0,1.0
g[642197],-0.064,0.169,-0.386,0.249,0.001,0.002,19951.0,5964.0,1.0
g[805373],0.029,0.173,-0.285,0.366,0.001,0.002,19004.0,5178.0,1.0
g[682668],-0.037,0.171,-0.358,0.291,0.001,0.002,18351.0,5277.0,1.0
g[676679],-0.004,0.168,-0.337,0.291,0.001,0.002,17942.0,5799.0,1.0
g[660636],0.009,0.171,-0.307,0.337,0.001,0.002,20971.0,5666.0,1.0
g[695336],-0.041,0.173,-0.37,0.28,0.001,0.002,21683.0,5537.0,1.0
g[605346],0.033,0.172,-0.294,0.348,0.001,0.002,19970.0,5270.0,1.0
g[691723],-0.017,0.163,-0.318,0.304,0.001,0.002,18460.0,5433.0,1.0
g[605170],0.015,0.173,-0.297,0.347,0.001,0.002,16243.0,5239.0,1.0
g[669208],0.029,0.17,-0.303,0.336,0.001,0.003,17755.0,4376.0,1.0
g[682657],-0.014,0.174,-0.33,0.327,0.001,0.002,21318.0,5603.0,1.0
g[678877],-0.006,0.175,-0.344,0.308,0.001,0.002,21793.0,5588.0,1.0
g[694388],0.008,0.172,-0.295,0.35,0.001,0.002,16946.0,5593.0,1.0
g[663330],-0.016,0.166,-0.317,0.309,0.001,0.002,15953.0,5382.0,1.0
g[680769],0.061,0.171,-0.251,0.398,0.001,0.002,18361.0,5197.0,1.0
g[682988],0.018,0.171,-0.284,0.353,0.001,0.002,18955.0,5780.0,1.0
g[695257],-0.001,0.174,-0.325,0.327,0.001,0.002,21986.0,5529.0,1.0
g[694359],0.013,0.173,-0.316,0.335,0.001,0.002,19529.0,5591.0,1.0
g[691594],-0.041,0.17,-0.373,0.27,0.001,0.002,17648.0,5427.0,1.0
g[596142],-0.002,0.173,-0.34,0.319,0.001,0.002,21915.0,5623.0,1.0
g[666464],0.01,0.169,-0.307,0.329,0.001,0.002,20477.0,5522.0,1.0
g[700932],0.001,0.171,-0.307,0.34,0.001,0.002,16812.0,5622.0,1.0
g[668853],0.015,0.171,-0.318,0.334,0.001,0.002,17025.0,5466.0,1.0
g[664954],0.0,0.171,-0.323,0.322,0.001,0.002,18579.0,5126.0,1.0
g[657193],-0.0,0.17,-0.324,0.324,0.001,0.002,19904.0,5692.0,1.0
g[645444],-0.002,0.169,-0.295,0.342,0.001,0.002,19513.0,5979.0,1.0
g[686555],-0.001,0.169,-0.337,0.305,0.001,0.003,17891.0,5327.0,1.0
g[669374],0.024,0.175,-0.317,0.343,0.001,0.002,19791.0,5663.0,1.0
g[679822],0.012,0.175,-0.319,0.339,0.001,0.002,21029.0,5567.0,1.0
g[681508],0.022,0.173,-0.289,0.362,0.001,0.002,17686.0,5582.0,1.0
g[671117],-0.007,0.172,-0.335,0.311,0.001,0.002,19806.0,5450.0,1.0
