,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Arozarena, Randy]",-0.856,0.202,-1.24,-0.483,0.002,0.003,12997.0,5743.0,1.0
"alpha[Owings, Chris]",-0.919,0.209,-1.293,-0.502,0.002,0.003,13608.0,5276.0,1.0
"alpha[Robson, Jacob]",-0.902,0.216,-1.29,-0.488,0.002,0.003,13531.0,5734.0,1.0
"alpha[Harris II, Michael]",-0.82,0.109,-1.028,-0.617,0.001,0.001,12040.0,6772.0,1.0
"alpha[Rodríguez, Julio]",-0.621,0.11,-0.83,-0.419,0.001,0.001,7374.0,5973.0,1.0
"alpha[DeLuzio, Ben]",-0.843,0.204,-1.228,-0.461,0.002,0.003,14226.0,6134.0,1.0
"alpha[Morel, Christopher]",-1.117,0.176,-1.439,-0.78,0.002,0.002,12457.0,5461.0,1.0
"alpha[Siani, Michael]",-0.787,0.147,-1.061,-0.513,0.001,0.002,13812.0,6255.0,1.0
"alpha[Waters, Drew]",-1.055,0.168,-1.374,-0.745,0.002,0.002,12478.0,6026.0,1.0
"alpha[Bae, Ji Hwan]",-0.789,0.17,-1.104,-0.463,0.001,0.002,14631.0,5928.0,1.0
"alpha[Greene, Riley]",-0.753,0.134,-1.009,-0.505,0.001,0.002,13959.0,6440.0,1.0
"alpha[Nootbaar, Lars]",-0.904,0.157,-1.197,-0.603,0.001,0.002,13755.0,6320.0,1.0
"alpha[Gore, Terrance]",-0.895,0.208,-1.293,-0.515,0.002,0.003,15875.0,5796.0,1.0
"alpha[Call, Alex]",-0.894,0.161,-1.198,-0.592,0.001,0.002,13356.0,5963.0,1.0
"alpha[Bleday, JJ]",-1.09,0.122,-1.329,-0.868,0.001,0.001,11240.0,6101.0,1.0
"alpha[Mitchell, Garrett]",-0.878,0.169,-1.188,-0.546,0.001,0.002,16071.0,5843.0,1.0
"alpha[Almonte, Abraham]",-0.961,0.212,-1.371,-0.578,0.002,0.003,16875.0,5815.0,1.0
"alpha[Thompson, Bubba]",-0.843,0.196,-1.207,-0.466,0.002,0.003,13858.0,5455.0,1.0
"alpha[Velázquez, Nelson]",-1.155,0.201,-1.527,-0.77,0.002,0.002,9362.0,5721.0,1.0
"alpha[Benson, Will]",-0.978,0.175,-1.324,-0.668,0.002,0.002,12987.0,5408.0,1.0
"alpha[Contreras, Mark]",-0.853,0.205,-1.262,-0.494,0.002,0.003,16445.0,5776.0,1.0
"alpha[Azócar, José]",-0.809,0.173,-1.119,-0.467,0.001,0.002,14549.0,5740.0,1.0
"alpha[Payton, Mark]",-0.918,0.214,-1.321,-0.518,0.002,0.003,15666.0,5159.0,1.0
"alpha[Carroll, Corbin]",-0.954,0.143,-1.229,-0.69,0.001,0.002,14284.0,5970.0,1.0
"alpha[Kreidler, Ryan]",-0.915,0.214,-1.32,-0.498,0.002,0.003,16075.0,5782.0,1.0
"alpha[Brennan, Will]",-0.957,0.2,-1.342,-0.594,0.002,0.002,15762.0,5977.0,1.0
"alpha[Thomas, Alek]",-1.067,0.121,-1.289,-0.844,0.001,0.001,9017.0,6014.0,1.0
"alpha[Suwinski, Jack]",-0.994,0.132,-1.241,-0.751,0.001,0.002,11731.0,6009.0,1.0
"alpha[Moore, Dylan]",-0.907,0.202,-1.3,-0.545,0.002,0.003,13483.0,6329.0,1.0
"alpha[O'Neill, Tyler]",-0.931,0.192,-1.296,-0.576,0.002,0.003,14504.0,6100.0,1.0
"alpha[Wisdom, Patrick]",-0.933,0.207,-1.316,-0.536,0.002,0.003,16181.0,5855.0,1.0
"alpha[Castro, Willi]",-1.169,0.164,-1.476,-0.858,0.002,0.002,10437.0,6662.0,1.0
"alpha[Aguilar, Ryan]",-0.877,0.21,-1.276,-0.485,0.002,0.003,15418.0,5670.0,1.0
"alpha[Merrifield, Whit]",-0.929,0.19,-1.279,-0.582,0.002,0.003,15641.0,5640.0,1.0
"alpha[Burdick, Peyton]",-0.95,0.207,-1.342,-0.56,0.002,0.003,15219.0,5511.0,1.0
"alpha[Stevenson, Cal]",-0.841,0.19,-1.187,-0.479,0.002,0.003,15288.0,5254.0,1.0
"alpha[Cordero, Franchy]",-0.902,0.215,-1.293,-0.49,0.002,0.003,15327.0,5552.0,1.0
"alpha[Myers, Wil]",-0.983,0.212,-1.38,-0.586,0.002,0.003,14993.0,6047.0,1.0
"alpha[Bernard, Wynton]",-0.988,0.208,-1.4,-0.608,0.002,0.003,15384.0,6146.0,1.0
"alpha[Eaton, Nate]",-0.888,0.203,-1.27,-0.502,0.002,0.003,13746.0,5356.0,1.0
"alpha[Davis, Jaylin]",-0.888,0.209,-1.275,-0.495,0.002,0.003,13593.0,5698.0,1.0
"alpha[Johnson, Bryce]",-0.924,0.199,-1.302,-0.553,0.002,0.003,13517.0,5733.0,1.0
"alpha[Frazier, Adam]",-0.899,0.213,-1.279,-0.488,0.002,0.003,17729.0,5824.0,1.0
"alpha[Lowe, Josh]",-1.009,0.196,-1.392,-0.657,0.002,0.002,13294.0,5924.0,1.0
