batter,n_gb,n_restarts,ref_exp_outs,cand_exp_outs,shortfall,pos_gap_ft
686681,233,20,0.7818949238989552,0.781880553337985,1.4370560970200508e-05,2.2129384296973877
686681,233,16,0.7818949238989552,0.7817812941012074,0.00011362979774776072,5.418572452894145
686681,233,12,0.7818949238989552,0.7807155074388595,0.0011794164600956725,37.181449766450925
686681,233,10,0.7818949238989552,0.7789814248318132,0.0029134990671420002,42.79582259371818
686681,233,8,0.7818949238989552,0.7789404770131582,0.0029544468857970463,7.338850790028861
701538,184,20,0.7607820415080955,0.7606316246047603,0.000150416903335171,6.069580656454203
701538,184,16,0.7607820415080955,0.7605749849151079,0.00020705659298758672,3.369689190954688
701538,184,12,0.7607820415080955,0.7607173174869525,6.472402114299225e-05,0.9615990506494079
701538,184,10,0.7607820415080955,0.7606088554359552,0.00017318607214023007,2.1593283222348814
701538,184,8,0.7607820415080955,0.7605749848794052,0.00020705662869024977,3.369686619327307
680118,104,20,0.7442910599986503,0.7442910586165508,1.3820995459212781e-09,0.004438403622936761
680118,104,16,0.7442910599986503,0.7442910562040133,3.794637049026051e-09,0.034037565814035414
680118,104,12,0.7442910599986503,0.7429570962517584,0.0013339637468918752,44.88610121906198
680118,104,10,0.7442910599986503,0.7429930075485601,0.0012980524500901813,44.778644494369225
680118,104,8,0.7442910599986503,0.7429913068129927,0.0012997531856575595,44.80808105494488
672761,113,20,0.7620202118458798,0.7618703732881427,0.00014983855773709198,10.369762368226937
672761,113,16,0.7620202118458798,0.761917146371486,0.00010306547439375979,4.47262952824269
672761,113,12,0.7620202118458798,0.7618703702921463,0.0001498415537334319,10.373539753812812
672761,113,10,0.7620202118458798,0.7616981688156079,0.0003220430302718347,3.5587513653787317
672761,113,8,0.7620202118458798,0.7618703777774003,0.00014983406847945968,10.3700438797688
573262,193,20,0.7724397906577963,0.7724580535394697,-1.8262881673392073e-05,2.228585597739612
573262,193,16,0.7724397906577963,0.7721880075126706,0.0002517831451257502,6.453830666381386
573262,193,12,0.7724397906577963,0.7714342310221722,0.0010055596356240981,37.55879981020601
573262,193,10,0.7724397906577963,0.7713914660912007,0.0010483245665956487,11.483373114569568
573262,193,8,0.7724397906577963,0.7714047969585556,0.0010349936992407605,35.88397460781849
642715,297,20,0.7366026009132879,0.7364258242725187,0.00017677664076920507,7.638708869366361
642715,297,16,0.7366026009132879,0.7364257902035237,0.00017681070976416358,7.62873092228314
642715,297,12,0.7366026009132879,0.7364258261989095,0.00017677471437838044,7.603129418700075
642715,297,10,0.7366026009132879,0.7353074443117884,0.0012951566014994809,34.95233405892946
642715,297,8,0.7366026009132879,0.7364258264107946,0.0001767745024933154,7.618191125112215
608671,208,20,0.7798854498237398,0.7798854210098664,2.881387339837005e-08,0.05065410521887611
608671,208,16,0.7798854498237398,0.7798854437638041,6.05993566438201e-09,0.007995939533116114
608671,208,12,0.7798854498237398,0.7798025165930382,8.29332307015207e-05,0.8511204799848358
608671,208,10,0.7798854498237398,0.7797754244554213,0.0001100253683185004,2.1849053808992043
608671,208,8,0.7798854498237398,0.7797470323321579,0.00013841749158183259,3.0139796360676576
668731,133,20,0.7962914107054451,0.7962914063474618,4.3579833075568786e-09,0.0037160639917072262
668731,133,16,0.7962914107054451,0.7962914063474618,4.3579833075568786e-09,0.0037160639917072262
668731,133,12,0.7962914107054451,0.7962914063474618,4.3579833075568786e-09,0.0037160639917072262
668731,133,10,0.7962914107054451,0.7962914063474618,4.3579833075568786e-09,0.0037160639917072262
668731,133,8,0.7962914107054451,0.7962914063474618,4.3579833075568786e-09,0.0037160639917072262
687462,131,20,0.8205255791772332,0.820482728152402,4.285102483125858e-05,0.5655836486079301
687462,131,16,0.8205255791772332,0.8204827281506197,4.28510266134996e-05,0.5657292184516176
687462,131,12,0.8205255791772332,0.820518298948308,7.28022892526603e-06,0.47919818242968903
687462,131,10,0.8205255791772332,0.8204827281506197,4.28510266134996e-05,0.5657292184516176
687462,131,8,0.8205255791772332,0.8204827281506197,4.28510266134996e-05,0.5657292184516176
680911,115,20,0.7367033229183862,0.7367033209934613,1.924924997176447e-09,0.003473085263522413
680911,115,16,0.7367033229183862,0.7367033221404581,7.779281663289339e-10,0.00704515754062173
680911,115,12,0.7367033229183862,0.7367033164175745,6.500811777776505e-09,0.0221561938440288
680911,115,10,0.7367033229183862,0.736690827397822,1.2495520564259621e-05,3.410887003260144
680911,115,8,0.7367033229183862,0.7367031030489147,2.1986947151830805e-07,0.058518403841178665
