,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Arozarena, Randy]",-2.547,0.216,-2.959,-2.151,0.002,0.003,12009.0,5166.0,1.0
"alpha[Duggar, Steven]",-1.536,0.198,-1.906,-1.16,0.002,0.002,12570.0,6709.0,1.0
"alpha[Carlson, Dylan]",-2.336,0.202,-2.697,-1.949,0.002,0.002,12237.0,6404.0,1.0
"alpha[White, Eli]",-1.648,0.253,-2.118,-1.171,0.002,0.003,12533.0,5746.0,1.0
"alpha[Solak, Nick]",-2.626,0.313,-3.237,-2.073,0.003,0.003,13995.0,6101.0,1.0
"alpha[Aquino, Aristides]",-2.101,0.233,-2.549,-1.682,0.002,0.003,14270.0,5937.0,1.0
"alpha[Hays, Austin]",-2.257,0.182,-2.593,-1.914,0.002,0.002,13273.0,6717.0,1.0
"alpha[Sierra, Magneuris]",-1.502,0.243,-1.96,-1.059,0.002,0.003,14002.0,7191.0,1.0
"alpha[Engel, Adam]",-1.812,0.205,-2.203,-1.439,0.002,0.002,12903.0,6352.0,1.0
"alpha[Akiyama, Shogo]",-1.964,0.276,-2.497,-1.461,0.002,0.003,15384.0,6450.0,1.0
"alpha[Edman, Tommy]",-2.206,0.293,-2.779,-1.682,0.002,0.003,14193.0,6277.0,1.0
"alpha[Chavis, Michael]",-2.423,0.431,-3.199,-1.574,0.003,0.005,17306.0,6625.0,1.0
